nohup: ignoring input
 INFO  Accepting connections at http://localhost:3000
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 GET /cohesion
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 Returned 200 in 12 ms
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 GET /static/css/main.0fba13fd.css
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 Returned 304 in 4 ms
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 GET /static/js/main.c3bf510d.js
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 Returned 304 in 3 ms
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 GET /static/js/main.c3bf510d.js.map
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 GET /static/css/main.0fba13fd.css.map
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 Returned 304 in 8 ms
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 GET /manifest.json
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 GET /kdd_logo_r.png
 HTTP  4/25/2024 8:06:36 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 GET /cohesion
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 GET /dist/output.css
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 GET /static/css/main.0fba13fd.css
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 GET /static/js/main.c3bf510d.js
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 GET /static/css/main.0fba13fd.css.map
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 GET /static/js/main.c3bf510d.js.map
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 GET /kdd_logo_p.png
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 Returned 304 in 0 ms
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 GET /inha_logo_p.png
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 GET /kdd_logo.png
 HTTP  4/25/2024 8:07:56 AM 127.0.0.1 Returned 304 in 1 ms
